,id,screen_name,followers_count,friends_count,favourites_count
0,2399863591,HistDyplomacji,11361,680,2029
1,948255997168160768,kedlarski,575,736,18962
2,1460679334222520320,OstapinskiRafal,0,6,0
3,745348540763889666,osrodekazji,1794,385,131
4,1240798339739901952,gach_grzegorz,2,142,8
5,75271619,bodziu,6,572,275
6,1319127983484010497,SzpitalNarodowy,1572,236,245
7,1067033922045968385,KastaWatch,11070,2930,9419
8,121466300,kornatowskis,5539,584,3546
9,2669339778,Szybownik,13,434,2668
10,1165691142,HKauzik,417,1566,1894
11,704323342472503296,Tony_Szesc,390,360,14302
12,3222650762,Romanczuk_Anna,5352,1368,7337
13,65877691,iu_st,2943,3747,55865
14,1460659921293295624,MN52957531,0,7,0
15,1425358400263704579,WojciechBrzozn1,7,504,10
16,469182585,risj_oxford,53248,3493,11550
17,1092784643949191168,mp_sadlowski,1535,1043,6915
18,3296971253,Kijek_Hubert,127,1716,1634
19,1459817314967293957,SzymonWlkp,0,3,1
20,731721408838025216,zuchpl,5143,497,112238
21,1389828183667748866,ACKS_aszwoj,261,16,33
22,709821105243078656,mo_to_9,100,776,60941
23,109092256,film_org_pl,1349,223,241
24,516515725,PCh24pl,11945,606,2701
25,165202653,AHulewska,659,2195,13465
26,1460663535332171787,GalaxyxvxXvx,0,2,0
27,1010074750805315585,ciejoann,40,269,27
28,1252231448725086210,adamjakulewicz,4,277,3470
29,4632581115,RafalCymerman,989,2201,11337
30,3310575976,remizapl,11568,339,4726
31,901688665,E_Wyciszkiewicz,1740,1166,5463
32,4054185189,JanNowak2019,2097,3274,7264
33,1460663965906878472,Marzena90693981,0,4,0
34,837496914,MAKowalczyk,2649,671,22834
35,244500013,emzaku73,1347,2103,5308
36,14493047,tvn24,1498785,69,51
37,1460635069408755713,nowara_wiktoria,3,6,2
38,846248492,SFranczak,84,431,197
39,33203304,M_Piechowska,642,935,7701
40,805690918150045696,BarnabaNikodem,81,2349,3109
41,1182033067663331329,CowZdrowiu,3053,825,2939
42,1244674289267290126,sledcza24,291,614,51
43,3466130117,EpiskopatNews,29339,639,54519
44,1460505077697941508,Magda99258028,0,18,0
45,535481964,UDbrowski,27,1286,2
46,107839313,zuzannafalzmann,21952,654,4886
47,136634900,Filmweb,20985,162,140
48,1081883174328848387,DariuszRosiak,16347,58,455
49,713335235,LukaszFajferek,30,1702,93
50,993858578,Daniel_ekkk,0,968,648
51,3055958122,swiety_swiety,193,594,34065
52,2991561543,FilipCzekala,404,625,3183
53,772804761406083073,kpawlowicki,963,330,658
54,845285731,ASadecki,668,1137,1993
55,1245362013175525378,N_Milewska,13,77,1094
56,3292953659,TitoniaT,515,540,89369
57,816625461195407360,Ahmadinejad1956,139486,50,19
58,1652541,Reuters,23997501,1195,752
59,1460683352185450496,amt_OM,0,13,0
60,2611234249,laczynaskobieca,6539,188,3948
61,1460664627877101579,shxxiet,0,21,7
62,2380022263,TSniedziewski,1605,3733,40266
63,912839160,MKacewicz,2974,1017,3216
64,908707850578485248,InstPileckiego,3964,425,1661
65,3240340540,8115bb6d9af7482,8,51,847
66,2862360821,mlkedzierski,786,665,6097
67,1430686625835720718,ZielarzTom,13,92,161
68,1608554546,KKazmierczakK,2027,1158,8519
69,1323730225067339784,WhiteHouse,6123679,5,0
70,312847877,StuartHumphryes,171862,188,51547
71,4163226958,pawel_behrendt,1682,551,13309
72,1321331198866661377,MarcusPaulus7,1306,1306,23916
73,1347908727572193282,A_L_Lanina,27,46,35
74,3076811715,Adam_Burakowski,5976,1516,6017
75,434957243,janmikruta,16022,1099,4536
76,1332759076196012042,arpinow13,613,1136,1308
77,1460673919766179847,DorotaT7,0,1,0
78,1107236948,Parkietcom,19363,297,8088
79,863921083,andpradnik,1820,2498,19128
80,4529082981,XjanusJanus,1328,1955,185985
81,3759982823,konradbryczek,23,573,11506
82,1218246438204903424,AnEta86437743,3,190,171
83,1184916506917908481,GregorGrezel,146,976,4811
84,884017340878389249,Chris_Iwanek,7389,2668,1751
85,418777730,TadeuszKobylski,1056,2309,28001
86,228761598,ArturDubiel,2541,1172,23024
87,16271167,griffiths,8096,535,785
88,1460636865531371528,DayanaGrabek,0,17,0
89,25667195,bozorgmehr,17194,1105,1889
90,4294643069,s_to_r_,6,371,30
91,787937472634318848,TransINFO_news,521,385,733
92,86343155,adam_eberhardt,13772,776,1966
93,1530338982,PAPinformacje,141247,184,21
94,1308470916792360962,M_Niedosmialek,35,1123,848
95,826487295394062337,miro_kruk,1249,1295,7189
96,1460642963097366530,Krzyszt07647517,0,1,0
97,1460685184811114506,catyahs,0,23,0
98,1460633211739033608,MaJedzierowska,0,12,0
99,1291457360666472455,Jestemciekawski,13,609,514
100,2277363860,Robert_Kogga,6324,3161,5607
101,892568245,instwolnosci,3266,366,621
102,1460671712949944322,MartaKw61176129,0,1,0
103,236466533,ukrpravda_news,863756,263,467
104,1361608763095068673,BogNieZyje,916,824,64572
105,48520860,IgorJanke,49291,877,4320
106,1126342838,B_Maciejewska,7756,1499,10979
107,572378058,howanisjan,79,532,590
